Nome Produto: ;Smartphone Samsung Galaxy J7 Prime 4G G610M Desbloqueado Dourado
Preco: ;R$ 1.059,90
Plataforma;Android
Versão;Android 6.0.1 Marshmallow
Resolução;1080p (16:9)
FPS da Gravação;30 Fps
Tamanho;5.5"
Resolução;1920 x 1080
Tipo;TFT; LCD
Número de Cores;16 milhões de cores
Memória Interna;32 GB
Memória RAM;3 GB
Memória Expansível;256 GB
Câmera;13 Megapixels
Recursos;Autofocus; Flash
Câmera Frontal;8 Megapixels
Rede;4G; 3G; 2G
Conectividade;Bluetooth 4.1; Wi-Fi 802.11 b/g/n; USB 2.0 (Micro-USB); Conexão P2 (3.5mm); GPS; GLONASS; Beidou
Capacidade;3.300 mAh
Removível;Não
Tipo;Íons de Lítio (Li-Ion)
Sensores;Acelerômetro; Proximidade; Impressão Digital
Núcleos;Octa Core
Velocidade (Clock);1.6 GHz
Chips;2 Chips
Tipo do Chip;Nano SIM Card
Altura (cm);15.2
Espessura (cm);0.8
Largura (cm);7.5
Peso (g);167.00
Marca;Samsung
Modelo;G610M
