Nome;Celular Smartphone Samsung Galaxy J7 Duos J700M Branco- Dual Chip, 4G, Tela 5.5 AMOLED, Câmera 13MP + Frontal 5MP Com Flash, Octa Core 1.5Ghz, 16GB
Preco;999,90
Diferencial;Câmera frontal com Flash
Modelo;J700M
Marca;Samsung
Cor;Branco
Tamanho da Tela;5.5
Resolução de Tela;720 x 1280 (HD) Super AMOLED
Megapixels da Câmera Traseira;13 MP
Flash Traseiro;Sim
Megapixels da Câmera Frontal;5 MP
Flash Frontal;Sim
Resolução do Video;FHD (1920 x 1080) @30fps
Processador;Octa Core 1.6 GHz
Memória Interna;16 GB
Memória Expansível Até;128 GB
Memória RAM;1,5 GB
Versão;Android
Bateria;3000 mAh
Capacidade de Chip;Dual Chip
Possui TV?;Não
Conexão Internet;4G
Tipo de Câmera;Frontal e Traseira
Altura;15.2 cm
Largura;7.86 cm
Comprimento;75 cm
Peso;128 g
Garantia;12 meses



Nome;Smartphone Lenovo Vibe B A2016B30 Preto - Dual Chip, 4G, Tela 4.5", Câmera 5MP + Frontal 2MP, Quad Core Mediatek 1.0Ghz, 8GB, 1GB RAM, Android 6.0
Preco;449,90
Modelo;A2016B30
Marca;Lenovo
Cor;Preto
Tamanho da Tela;4.5
Resolução de Tela;854x480
Megapixels da Câmera Traseira;5 MP
Flash Traseiro;Sim
Megapixels da Câmera Frontal;2 MP
Flash Frontal;Não
Resolução do Video;854x480
Processador;Quad-Core 1.0 GHz Mediatek MT6735
Memória Interna;8 GB
Memória Expansível Até;32 GB
Memória RAM;1 GB
Versão;Android 6.0
Bateria;2000 mAh
Capacidade de Chip;Dual Chip
Possui TV?;Não
Conexão Internet;4G
Tipo de Câmera;Frontal e Traseira
Altura;0.7 cm
Largura;9.9 cm
Comprimento;13.4 cm
Peso;147 g
Garantia;12 meses



Nome;Celular Smartphone Samsung Galaxy J5 Duos J500M Preto - Dual Chip, 4G, Tela 5, Câmera 13MP + Frontal 5MP com Flash, Quad Core de 1.2 Ghz, 16GB
Preco;799,90
Diferencial;Câmera frontal com Flash
Modelo;J500M
Marca;Samsung
Cor;Preto
Tamanho da Tela;5.0
Resolução de Tela;720 x 1280 (HD) Super AMOLED
Megapixels da Câmera Traseira;13 MP
Flash Traseiro;Sim
Megapixels da Câmera Frontal;5 MP
Flash Frontal;Sim
Resolução do Video;FHD (1920 x 1080) @30fps
Processador;Quad Core 1.2 GHz
Memória Interna;16 GB
Memória Expansível Até;128 GB
Memória RAM;1,5 GB
Versão;Android
Bateria;2600 mAh
Capacidade de Chip;Dual Chip
Possui TV?;Não
Conexão Internet;4G
Tipo de Câmera;Frontal e Traseira
Altura;14.21 cm
Largura;7.18 cm
Comprimento;7.9 cm
Peso;146 g
Garantia;12 meses



Nome;Celular Smartphone LG K10 2017 Dourado - Dual Chip, 4G, Tela 5.3, Câmera 13MP + Frontal 5 MP, Octa Core 1.5Ghz, 32GB, Android 7.0
Preco;999,00
Diferencial;Câmera de selfie grande angular de 5MP e 120°
Modelo;LG K10 2017 LGM250ds
Marca;LG
Cor;Dourado
Resolução de Tela;TFT
Megapixels da Câmera Traseira;13 MP
Flash Traseiro;Sim
Megapixels da Câmera Frontal;5 MP
Flash Frontal;Sim
Resolução do Video;720P(HD)
Processador;OCTA CORE
Memória Interna;32 GB
Memória Expansível Até;32 GB
Memória RAM;2 GB
Versão;Android 7.0
Bateria;2700 mAh
Capacidade de Chip;Dual Chip
Possui TV?;Não
Conexão Internet;4G
Tipo de Câmera;Frontal e Traseira
Altura;14.8 cm
Largura;7.5 cm
Comprimento;0.8 cm
Peso;138 g
Garantia;12 meses



Nome;Celular Smartphone Samsung Galaxy J5 Duos J500M Dourado - Dual Chip, 4G, Tela 5, Câmera 13MP + Frontal 5MP com Flash, Quad Core de 1.2 Ghz, 16GB
Preco;799,90
Diferencial;Câmera frontal com Flash
Modelo;J500M
Marca;Samsung
Cor;Dourado
Tamanho da Tela;5.0
Resolução de Tela;720 x 1280 (HD) Super AMOLED
Megapixels da Câmera Traseira;13 MP
Flash Traseiro;Sim
Megapixels da Câmera Frontal;5 MP
Flash Frontal;Sim
Resolução do Video;FHD (1920 x 1080) @30fps
Processador;Quad Core 1.2 GHz
Memória Interna;16 GB
Memória Expansível Até;128 GB
Memória RAM;1,5 GB
Versão;Android
Bateria;2600 mAh
Capacidade de Chip;Dual Chip
Possui TV?;Não
Conexão Internet;4G
Tipo de Câmera;Frontal e Traseira
Altura;14.21 cm
Largura;7.18 cm
Comprimento;7.9 cm
Peso;146 g
Garantia;12 meses



Nome;Celular Smartphone Alcatel Pixi4 5' Colors OT5010 - TV Digital,Dual Chip,3G,Tela 5',Câmera 8MP + Frontal 8MP com flash, Quad Core
Preco;499,00
Modelo;PIXI4 5 OT5010 2017
Marca;Alcatel
Cor;Preto
Tamanho da Tela;5.0
Resolução de Tela;TFT
Megapixels da Câmera Traseira;8 MP
Flash Traseiro;Sim
Megapixels da Câmera Frontal;8 MP
Flash Frontal;Sim
Processador;4core
Memória Interna;8 GB
Memória Expansível Até;32 GB
Memória RAM;1 GB
Versão;Android 6.0
Bateria;2000 mAh
Capacidade de Chip;Dual Chip
Possui TV?;Sim
Conexão Internet;3G
Tipo de Câmera;Frontal e Traseira
Altura;14 cm
Largura;7.1 cm
Comprimento;0.84 cm
Peso;350 g
Garantia;12 meses



Nome;Celular Smartphone Alcatel Pop 4 Premium OT5051 - Dual Chip, 4G, Tela IPS 5', Câmera 13MP+frontal 8MP com Flash ,Quad Core,40GB*,1.5GB RAM,Android 6.0
Preco;529,90
Modelo;OT5051
Marca;Alcatel
Cor;Branco
Tamanho da Tela;5.0
Resolução de Tela;IPS
Megapixels da Câmera Traseira;13 MP
Flash Traseiro;Sim
Megapixels da Câmera Frontal;8 MP
Flash Frontal;Sim
Resolução do Video;HD (1280X720 pixels)
Processador;Quad Core
Memória Interna;8 GB
