Nome Produto: ;Smartphone Mirage 61S Dual Chip Android Lollipop Tela 5" 8GB Wi-Fi 3G Câmera 8MP - Azul Escuro
Preco: ;R$ 399,90
Código: ;129074369
Código de barras: ;7899838815138
Marca: ;Mirage
Modelo: ;MIRAGE 61S
Cor: ;Azul Escuro
Tipo de Chip: ;Chip Comum
Quantidade de Chips: ;Dual Chip
Memória Interna: ;8GB
Memória RAM: ;1GB
Processador: ;Quad Core 1.3 GHz
Sistema Operacional: ;Android
Versão: ;Lollipop
Tipo de tela: ;LCD IPS
Tamanho do Display: ;5"
Resolução: ;Tela : 5" (FWVGA 480 x 854 px) IPS Capacitiva
Câmera traseira: ;8MP
Câmera frontal: ;5MP
Filmadora: ;HD
Expansivo até: ;MicroSD até 32GB
Alimentação/Tipo de bateria: ;Bateria de Lítio - Polimero de 2100mAh
Banda: ;3G 850/2100 Mhz
Conectividade: ;Wi-Fi, 3G
TV: ;Não
Recursos de Chamada: ;Viva Voz
Outros Recursos: ;Acelerômetro, proximidade e luz ambiente
Conteúdo da Embalagem: ;1 Aparelho, 1 carregador, 1 bateria de lítio, 1 case traseira colorida, 1 capa protetora, 1 película protetora, 1 cabo micro USB, 1 fone de ouvido e manual do usuário
Dimensões aproximadas do produto - cm (AxLxP): ;17x8x1,1cm
Peso líq. aproximado do produto (kg): ;150g
Garantia do Fornecedor: ;12 Meses
Referência do modelo: ;P9019
Fornecedor: ;Mirage
SAC: ;0800 880 4009 ou (11) 4003-5200 - E-mail: contato@mirage.com.br
Nome Produto: ;Smartphone Mirage 61S Dual Chip Android Lollipop Tela 5" 8GB Wi-Fi 3G Câmera 8MP - Azul Escuro
Preco: ;R$ 399,90
Código: ;129074369
Código de barras: ;7899838815138
Marca: ;Mirage
Modelo: ;MIRAGE 61S
Cor: ;Azul Escuro
Tipo de Chip: ;Chip Comum
Quantidade de Chips: ;Dual Chip
Memória Interna: ;8GB
Memória RAM: ;1GB
Processador: ;Quad Core 1.3 GHz
Sistema Operacional: ;Android
Versão: ;Lollipop
Tipo de tela: ;LCD IPS
Tamanho do Display: ;5"
Resolução: ;Tela : 5" (FWVGA 480 x 854 px) IPS Capacitiva
Câmera traseira: ;8MP
Câmera frontal: ;5MP
Filmadora: ;HD
Expansivo até: ;MicroSD até 32GB
Alimentação/Tipo de bateria: ;Bateria de Lítio - Polimero de 2100mAh
Banda: ;3G 850/2100 Mhz
Conectividade: ;Wi-Fi, 3G
TV: ;Não
Recursos de Chamada: ;Viva Voz
Outros Recursos: ;Acelerômetro, proximidade e luz ambiente
Conteúdo da Embalagem: ;1 Aparelho, 1 carregador, 1 bateria de lítio, 1 case traseira colorida, 1 capa protetora, 1 película protetora, 1 cabo micro USB, 1 fone de ouvido e manual do usuário
Dimensões aproximadas do produto - cm (AxLxP): ;17x8x1,1cm
Peso líq. aproximado do produto (kg): ;150g
Garantia do Fornecedor: ;12 Meses
Referência do modelo: ;P9019
Fornecedor: ;Mirage
SAC: ;0800 880 4009 ou (11) 4003-5200 - E-mail: contato@mirage.com.br
Nome Produto: ;Smartphone Mirage 61S Dual Chip Android Lollipop Tela 5" 8GB Wi-Fi 3G Câmera 8MP - Azul Escuro
Preco: ;R$ 399,90
Código: ;129074369
Código de barras: ;7899838815138
Marca: ;Mirage
Modelo: ;MIRAGE 61S
Cor: ;Azul Escuro
Tipo de Chip: ;Chip Comum
Quantidade de Chips: ;Dual Chip
Memória Interna: ;8GB
Memória RAM: ;1GB
Processador: ;Quad Core 1.3 GHz
Sistema Operacional: ;Android
Versão: ;Lollipop
Tipo de tela: ;LCD IPS
Tamanho do Display: ;5"
Resolução: ;Tela : 5" (FWVGA 480 x 854 px) IPS Capacitiva
Câmera traseira: ;8MP
Câmera frontal: ;5MP
Filmadora: ;HD
Expansivo até: ;MicroSD até 32GB
Alimentação/Tipo de bateria: ;Bateria de Lítio - Polimero de 2100mAh
Banda: ;3G 850/2100 Mhz
Conectividade: ;Wi-Fi, 3G
TV: ;Não
Recursos de Chamada: ;Viva Voz
Outros Recursos: ;Acelerômetro, proximidade e luz ambiente
Conteúdo da Embalagem: ;1 Aparelho, 1 carregador, 1 bateria de lítio, 1 case traseira colorida, 1 capa protetora, 1 película protetora, 1 cabo micro USB, 1 fone de ouvido e manual do usuário
Dimensões aproximadas do produto - cm (AxLxP): ;17x8x1,1cm
Peso líq. aproximado do produto (kg): ;150g
Garantia do Fornecedor: ;12 Meses
Referência do modelo: ;P9019
Fornecedor: ;Mirage
SAC: ;0800 880 4009 ou (11) 4003-5200 - E-mail: contato@mirage.com.br
Nome Produto: ;Smartphone Mirage 61S Dual Chip Android Lollipop Tela 5" 8GB Wi-Fi 3G Câmera 8MP - Azul Escuro
Preco: ;R$ 399,90
Código: ;129074369
Código de barras: ;7899838815138
Marca: ;Mirage
Modelo: ;MIRAGE 61S
Cor: ;Azul Escuro
Tipo de Chip: ;Chip Comum
Quantidade de Chips: ;Dual Chip
Memória Interna: ;8GB
Memória RAM: ;1GB
Processador: ;Quad Core 1.3 GHz
Sistema Operacional: ;Android
Versão: ;Lollipop
Tipo de tela: ;LCD IPS
Tamanho do Display: ;5"
Resolução: ;Tela : 5" (FWVGA 480 x 854 px) IPS Capacitiva
Câmera traseira: ;8MP
Câmera frontal: ;5MP
Filmadora: ;HD
Expansivo até: ;MicroSD até 32GB
Alimentação/Tipo de bateria: ;Bateria de Lítio - Polimero de 2100mAh
Banda: ;3G 850/2100 Mhz
Conectividade: ;Wi-Fi, 3G
TV: ;Não
Recursos de Chamada: ;Viva Voz
Outros Recursos: ;Acelerômetro, proximidade e luz ambiente
Conteúdo da Embalagem: ;1 Aparelho, 1 carregador, 1 bateria de lítio, 1 case traseira colorida, 1 capa protetora, 1 película protetora, 1 cabo micro USB, 1 fone de ouvido e manual do usuário
Dimensões aproximadas do produto - cm (AxLxP): ;17x8x1,1cm
Peso líq. aproximado do produto (kg): ;150g
Garantia do Fornecedor: ;12 Meses
Referência do modelo: ;P9019
Fornecedor: ;Mirage
SAC: ;0800 880 4009 ou (11) 4003-5200 - E-mail: contato@mirage.com.br
